feature,importance
Feature_0,0.2680816195854405
Feature_7057,0.19335825285919533
Feature_7075,0.06933017239332961
Feature_7072,0.06568041352557215
Feature_7071,0.04983049010831026
Feature_3,0.048210265333893325
Feature_2,0.030250649374458583
Feature_5,0.018378564371346606
Feature_4,0.016563993991202036
Feature_7073,0.016115143920195935
Feature_7070,0.015447471661885578
Feature_7060,0.014369134457282965
Feature_1,0.0069906605500989595
Feature_7066,0.006531046359288884
Feature_7,0.0062338302588345485
Feature_7051,0.005453036867711087
Feature_7068,0.005285053454245858
Feature_7056,0.0036007306396553377
Feature_7064,0.002105881874699576
Feature_7055,0.001919061511245625
Feature_415,0.0014787109711913023
Feature_6031,0.001456342040581291
Feature_5236,0.0014126911526735548
Feature_715,0.0013751806254325926
Feature_7054,0.0008766657031294793
Feature_5646,0.000818321973891491
Feature_4488,0.0008170996856520149
Feature_3428,0.0008093546897233649
Feature_5167,0.0008070648025109486
Feature_2460,0.0008058593285698232
Feature_3891,0.0007913270286101982
Feature_2382,0.0007875059957306549
Feature_1521,0.0007813242310748779
Feature_123,0.0007721692636094536
Feature_3049,0.0007624114877396716
Feature_4638,0.000761545635262263
Feature_358,0.0007608860028367716
Feature_260,0.0007562555147998025
Feature_2162,0.0007526065670220005
Feature_6396,0.0007508483207846865
Feature_3085,0.000750303821468872
Feature_1073,0.0007498620839584512
Feature_4683,0.0007489743676083976
Feature_1552,0.0007483108914140053
Feature_7074,0.0007465861964182588
Feature_6274,0.0007294840031976074
Feature_594,0.000724123313497298
Feature_438,0.0007234983264855759
Feature_1193,0.0007223476804988027
Feature_3213,0.000718677084454309
Feature_6045,0.0007162925389493582
Feature_4835,0.000713982182839096
Feature_796,0.0007132794384377787
Feature_2240,0.0007125916453848081
Feature_5519,0.0007124347082419888
Feature_5206,0.0007123386842041431
Feature_1745,0.0007117397756963035
Feature_6630,0.0007109663842051955
Feature_1965,0.000707680797637067
Feature_3749,0.0007074295351490788
Feature_5445,0.0007067652464058507
Feature_4184,0.000705227082230124
Feature_2289,0.000705196171449621
Feature_4292,0.0007049190865557243
Feature_2121,0.0007041088479003139
Feature_4079,0.0007033248642132586
Feature_1178,0.0007002905443219915
Feature_5553,0.0006979345674063768
Feature_1054,0.0006973743563706714
Feature_388,0.0006957133610782073
Feature_1091,0.0006939345131173104
Feature_3564,0.0006938182258289289
Feature_477,0.0006931182543464818
Feature_4452,0.0006929170760942675
Feature_1835,0.0006929075084484023
Feature_2599,0.0006910296167023214
Feature_5748,0.0006882653723206283
Feature_3138,0.0006869265525648277
Feature_3971,0.0006866024039931906
Feature_1747,0.0006859493276575749
Feature_3730,0.0006855738584943988
Feature_6406,0.0006854041738154739
Feature_3597,0.0006852493539705389
Feature_7053,0.0006843017507123942
Feature_1810,0.0006837167155698966
Feature_1715,0.0006808212013725259
Feature_3027,0.0006795629400995984
Feature_2887,0.0006771007068660295
