feature,importance
Feature_7072,2.04250074739316
Feature_0,1.8542577742044888
Feature_4488,0.9881913415957221
Feature_415,0.98554225073999
Feature_2382,0.984042481909674
Feature_2460,0.9806175192352147
Feature_715,0.9767063661091367
Feature_5236,0.968481540445134
Feature_5167,0.9684376344860716
Feature_4638,0.9651640334234103
Feature_260,0.9615453575985146
Feature_3891,0.9607718193808353
Feature_5646,0.9590170799892195
Feature_1521,0.9573925434604761
Feature_3213,0.9541844222319292
Feature_6031,0.9503336250847753
Feature_388,0.9490158501034314
Feature_6406,0.9452785909376102
Feature_477,0.945074686284292
Feature_2599,0.9285425922462738
Feature_4452,0.927506261150589
Feature_4184,0.9259743827369934
Feature_6274,0.9248985633887878
Feature_3027,0.9222359354357748
Feature_3049,0.9160938046374195
Feature_6396,0.9099505433259086
Feature_1178,0.9055996656148536
Feature_25,0.9005913214237773
Feature_1600,0.8992483667311217
Feature_3549,0.8985566149803763
Feature_1073,0.8961294105495571
Feature_1607,0.895811821165118
Feature_2887,0.8951123908658077
Feature_594,0.8943666288335259
Feature_358,0.8900554468282754
Feature_796,0.8811015457651769
Feature_1810,0.8794566797020412
Feature_3085,0.8772789801727564
Feature_6630,0.8733862355592539
Feature_123,0.8706927629313581
Feature_6045,0.8706804696548065
Feature_4835,0.868828132868772
Feature_1001,0.868240538099623
Feature_4292,0.8681593716018889
Feature_4718,0.8680811408765666
Feature_122,0.8653172779097482
Feature_2929,0.8621688089078664
Feature_2121,0.8615077826484475
Feature_1091,0.8598054549389891
Feature_521,0.8595547742645026
Feature_5206,0.8583515083220232
Feature_3749,0.8546392918168816
Feature_4748,0.8542335612408652
Feature_1715,0.853571481604046
Feature_6484,0.8516811306515638
Feature_438,0.8515029373925921
Feature_2349,0.8512209199013723
Feature_1965,0.8499706349070872
Feature_5445,0.8426225633577078
Feature_5748,0.8421373220420671
Feature_773,0.8418972098119857
Feature_2162,0.8410754082090242
Feature_74,0.8357340295000518
Feature_3762,0.8332007107367714
Feature_3597,0.8292662372281647
Feature_6092,0.8290844296652347
Feature_2240,0.8276155915471629
Feature_1054,0.8267264026877066
Feature_5519,0.826163748106268
Feature_4079,0.8252110846499436
Feature_5637,0.8249676854996589
Feature_2289,0.8228348544842911
Feature_2166,0.8220127278475586
Feature_5345,0.8218215376249149
Feature_3730,0.8202673336828694
Feature_1463,0.8189445906496775
Feature_915,0.8144843877921597
Feature_6534,0.8129476824494192
Feature_1747,0.8124849526103712
Feature_2916,0.8123948066477027
Feature_5029,0.8123135759998071
Feature_4479,0.8095399465987781
Feature_1835,0.8092438830169618
Feature_4469,0.806534157566652
Feature_7057,0.806059110216997
Feature_3878,0.8056545370465871
Feature_5086,0.8047006103412007
Feature_3120,0.802547618744272
Feature_116,0.8012490484199977
Feature_79,0.8010855754739343
Feature_5831,0.8005427624264632
Feature_5709,0.7996604057552079
Feature_1473,0.7990425644617719
Feature_1745,0.7952848795740634
Feature_4683,0.7941509203786341
Feature_3150,0.7914560526715121
Feature_880,0.789994130542538
Feature_3138,0.7883795288988495
Feature_6606,0.787132429982866
Feature_4540,0.7863540058208397
Feature_3539,0.7849363905178564
Feature_5493,0.78232907693176
Feature_6385,0.7810321280612967
Feature_2010,0.776134544071138
Feature_5553,0.7755606238839214
Feature_3363,0.7742025289622987
Feature_5425,0.7726664539220379
Feature_4476,0.7724340811144468
Feature_3971,0.7708589634846633
Feature_6104,0.7688766135281289
Feature_2873,0.7684038887184821
Feature_6960,0.7656251806227717
Feature_2982,0.7651859281612554
Feature_833,0.7635171271781704
Feature_844,0.760966754624166
Feature_2307,0.7606614606289404
Feature_6224,0.7585275920445496
Feature_5411,0.7573255855113338
Feature_3991,0.7569926695204837
Feature_3460,0.7561329394007964
Feature_4415,0.7548344079514033
Feature_3702,0.7532641463038562
Feature_6096,0.7490144716184977
Feature_6237,0.7489267832933959
Feature_3498,0.7486265599972318
Feature_1003,0.747615092377917
Feature_3202,0.7463159902807136
Feature_3237,0.7439193712559009
Feature_1609,0.7437578901886576
Feature_4260,0.7432956427985279
Feature_5436,0.7390056302503656
Feature_6524,0.7374003536837616
Feature_5575,0.7348305223520939
Feature_689,0.731361218932592
Feature_6924,0.7281446917106367
Feature_101,0.7268437458943684
Feature_2944,0.7258773559601401
Feature_1096,0.7239074937745479
Feature_4329,0.7238614212026008
Feature_3299,0.723179416193885
Feature_1046,0.7230268557508026
Feature_180,0.7230057071069416
Feature_4837,0.7229015162272856
Feature_2918,0.7228686635638071
Feature_1120,0.7222937396339871
Feature_3648,0.7219500860053502
Feature_1829,0.7210169234380308
Feature_31,0.7208647787954447
Feature_4162,0.7205565426095846
Feature_6809,0.7191252326871778
Feature_3311,0.7168824533988819
Feature_4090,0.716246217558489
Feature_5584,0.7147743578885527
Feature_6374,0.7142415992037441
Feature_3466,0.7136531334700256
Feature_5726,0.710281828299916
Feature_1340,0.703261920045906
Feature_4040,0.7024247649376606
Feature_2320,0.702063346425351
Feature_4867,0.7009554313842221
Feature_3921,0.7007011586419923
Feature_6433,0.6991641180957298
Feature_311,0.6990516641202678
Feature_2940,0.6988463159788229
Feature_1537,0.6985734490512681
Feature_4825,0.698271232125086
Feature_1626,0.6961659166873871
Feature_7044,0.695274169961573
Feature_4060,0.6947285266693713
Feature_1187,0.6945357656545309
Feature_4753,0.692786152946844
Feature_6747,0.6927382532938656
Feature_3925,0.6921455581199815
Feature_5995,0.6919267618044205
Feature_94,0.6897478466788262
Feature_5475,0.6889055329118239
Feature_4041,0.6888189777464854
Feature_2719,0.6884372604126199
Feature_5046,0.6881719623001213
Feature_683,0.6878209417752036
Feature_3475,0.6861583317785829
Feature_4566,0.6860144472520634
Feature_6326,0.6856553584889713
Feature_2708,0.6852729309802189
Feature_2452,0.6846429485361027
Feature_3173,0.6839514891420995
Feature_2686,0.6838919449407443
Feature_3349,0.6833179620527534
Feature_1665,0.6805236765662125
Feature_2655,0.6800064402663986
Feature_6399,0.6787458249973368
Feature_776,0.6786029513550959
Feature_4713,0.6778710252549541
Feature_3672,0.6769670630329517
Feature_3905,0.6761539294612576
Feature_6346,0.6756568499133605
Feature_2766,0.6736793916313201
Feature_3338,0.6731772010285777
Feature_2960,0.6730448538932744
Feature_3364,0.6730183816702497
Feature_1310,0.6729919085155297
Feature_730,0.6729919085155297
Feature_2206,0.6729654344292401
Feature_5148,0.6727800897517994
Feature_4697,0.6727536082174699
Feature_4364,0.6727271257527007
Feature_6744,0.6720720728555382
Feature_3372,0.6710853138720311
Feature_7054,0.6709734518695735
Feature_423,0.6701052455602972
Feature_1540,0.6696696543555861
Feature_2726,0.6694563199063357
Feature_3474,0.6692102022236766
Feature_2444,0.6690648834235171
Feature_2330,0.6690175776351363
Feature_5414,0.6685913022323914
Feature_4507,0.6679998856746678
Feature_607,0.6675540615419396
Feature_5374,0.6672747877461903
Feature_24,0.6672180413581295
Feature_1966,0.6664540426585366
Feature_6937,0.6663275601709131
Feature_4826,0.6660777272876718
Feature_937,0.66522669697246
Feature_3995,0.6646023971909574
Feature_296,0.6645756475995815
Feature_5279,0.6645756475995815
Feature_821,0.6645521384197177
Feature_1353,0.6643616188300316
Feature_2749,0.6640404689888013
Feature_5353,0.6638262980663331
Feature_4745,0.6635247237001076
Feature_4511,0.6609867609165676
Feature_5819,0.6605597811096456
Feature_631,0.660102932533517
Feature_553,0.6599697487354256
Feature_6709,0.6588468289765671
Feature_6466,0.6584512009464762
Feature_5457,0.6581514726594295
Feature_2737,0.6574678464463112
Feature_2269,0.6574529997867086
Feature_2925,0.6565743414574197
Feature_1008,0.6565071171110473
Feature_3428,0.6555789663577423
Feature_1100,0.6550545366591289
Feature_5651,0.6537374416891896
Feature_5257,0.6507929043597904
Feature_772,0.6505185216098126
Feature_6312,0.6493744491888865
Feature_4866,0.6485628723586938
Feature_4210,0.6484406721302469
Feature_5839,0.6481411083385583
Feature_4546,0.6473332327556022
Feature_1315,0.6472196436226897
Feature_2327,0.645982630159553
Feature_325,0.6456762995705768
Feature_2808,0.6455487403460268
Feature_510,0.645367922958062
Feature_4,0.6448316569596286
Feature_111,0.6446240275530014
Feature_5350,0.6438268603793937
Feature_2894,0.6436194464632701
Feature_3366,0.6421798305247952
Feature_3557,0.6413151621731343
Feature_2403,0.6410103317674598
Feature_1179,0.6405755244568953
Feature_712,0.6400483555343655
Feature_2051,0.639205028969515
Feature_6590,0.6387158013326169
Feature_3073,0.6378916502181682
Feature_2605,0.637794521357465
Feature_1006,0.6377572895793656
Feature_2237,0.6359672258330223
Feature_2419,0.6357301632768275
Feature_3588,0.6355062064739817
Feature_2586,0.6355059112658306
Feature_6551,0.6354590881085085
Feature_4859,0.6352113497319869
Feature_496,0.6351797495568045
Feature_3483,0.6326059557540388
Feature_482,0.6325995570238242
Feature_6777,0.6324006043423713
Feature_3680,0.6316198849120396
Feature_7071,0.631293042986422
Feature_392,0.6302792643948896
Feature_6383,0.6300645272122807
Feature_745,0.6285242454736037
Feature_1354,0.6280248708280585
Feature_6180,0.6259534413013391
Feature_1011,0.6256880626829292
Feature_1677,0.6253845598110559
Feature_5500,0.6251687653172574
Feature_2119,0.6241887978981969
Feature_4392,0.6239679081909375
Feature_4457,0.6238507826404251
Feature_5890,0.623595567368655
Feature_2984,0.6223760893856507
Feature_2396,0.622056001254798
Feature_1996,0.6219626082993757
Feature_174,0.6219057330567108
Feature_514,0.6210573146351844
Feature_6164,0.6192238895973786
Feature_3223,0.619136271467418
Feature_6772,0.6187983957749356
Feature_2733,0.6186072006106367
Feature_6909,0.6164167092119968
Feature_1162,0.6160341112647577
Feature_5488,0.6154589282688994
Feature_4371,0.6149149352792305
Feature_1533,0.6147365316004431
Feature_5377,0.6144896429663073
Feature_854,0.6137229370359474
Feature_4818,0.6137102826001068
Feature_582,0.6133364828954811
Feature_1857,0.6123615301017085
Feature_677,0.6121511267508398
Feature_2878,0.6120917125074602
Feature_5281,0.6120128297911944
Feature_1364,0.6119779021214525
Feature_318,0.6119532029022031
Feature_3816,0.6107942867956381
Feature_5906,0.6107942867956381
Feature_862,0.6107378858135911
Feature_4386,0.6105243994560531
Feature_5673,0.6104558440628562
Feature_3271,0.6102865895835153
Feature_6089,0.6100848670537382
Feature_1921,0.6100429024298136
Feature_6567,0.6100326665651159
Feature_6771,0.6095338025769014
Feature_5268,0.6088097345751717
Feature_4958,0.608735018407473
Feature_966,0.6074192084454759
Feature_424,0.6065178320219763
Feature_1654,0.6062352752601391
Feature_6209,0.6046794965141552
Feature_362,0.604575003775205
Feature_5613,0.6042272768789783
Feature_3638,0.6038873192529555
Feature_5072,0.6038542362864368
Feature_4220,0.6036851230679581
Feature_4684,0.6034108177697233
Feature_1040,0.6026445568000326
Feature_5261,0.6022486321353239
Feature_1102,0.6020219923908432
Feature_2193,0.6019929068771797
Feature_1636,0.6017761612117208
Feature_3632,0.6016632851484037
Feature_5745,0.6014887298170395
Feature_1997,0.6014603470499527
Feature_5572,0.6014319637173902
Feature_3210,0.6010913196750338
Feature_4345,0.6008073876443072
Feature_2877,0.6006649481282959
Feature_3340,0.6003008816427395
Feature_2971,0.6001921419883018
Feature_334,0.5997287725491373
Feature_1414,0.5992026718139216
Feature_2026,0.5990070437139181
Feature_4517,0.5986552032329676
Feature_6574,0.5983696378211704
Feature_2339,0.5976460744596515
Feature_282,0.5969641925010284
Feature_1439,0.596753896279113
Feature_4996,0.5966848169717098
Feature_3865,0.595848011027017
Feature_1227,0.5950887303383904
Feature_6591,0.5943342786162388
Feature_529,0.5941072256446387
Feature_3016,0.5933176482613101
Feature_6740,0.5932620431490866
Feature_2056,0.5932573797850769
Feature_4740,0.5929333885434914
Feature_2571,0.5927908112140845
Feature_1465,0.5913921610627204
Feature_2199,0.5913060066593574
Feature_4672,0.5911582865296335
Feature_6182,0.5903306418684446
Feature_6530,0.5893239594619386
Feature_4971,0.5892386007663787
Feature_2564,0.5891969897494471
Feature_2016,0.5887879554771492
Feature_4424,0.5883420716319053
Feature_5467,0.5880908209584322
Feature_233,0.5876520103100168
Feature_1278,0.586092667074761
Feature_4482,0.5856801570365603
Feature_6202,0.5855300589682717
Feature_3079,0.5849760562441833
Feature_5212,0.5842626969242927
Feature_481,0.5842230621201764
Feature_2333,0.5840644370550027
Feature_5019,0.5837348515378693
Feature_2511,0.5833163172346971
Feature_1373,0.5827599352565067
Feature_828,0.5823306080097589
Feature_5161,0.5812843169310958
Feature_1930,0.5812135195485307
Feature_6995,0.5810383182208936
Feature_1447,0.5801047799793193
Feature_2426,0.5797777884261964
Feature_1094,0.57943119648507
Feature_2399,0.5787568739580576
Feature_244,0.5783262321364591
Feature_5771,0.5783022488317973
Feature_3417,0.5782017253539427
