feature,importance
Feature_2,0.07790702648906846
Feature_0,0.06960090657585712
Feature_1,0.06252090986078519
Feature_5,0.06191312724222303
Feature_7,0.05627689265648707
Feature_4,0.045279699961021345
Feature_3,0.028842753005329312
Feature_7075,0.019748998971374773
Feature_7057,0.019645431351684083
Feature_6,0.019358696535016384
Feature_7060,0.018045377022334566
Feature_7072,0.016518028221645574
Feature_7071,0.01600450340587862
Feature_7073,0.015125473447338675
Feature_7066,0.014326352863517517
Feature_7050,0.013465998185599556
Feature_7052,0.012663461117383869
Feature_7053,0.01175529663617053
Feature_7062,0.01151094049347241
Feature_7051,0.011002532425764962
Feature_7064,0.010383299259044663
Feature_7056,0.010299422397530858
Feature_7074,0.009076318660177139
Feature_7070,0.009073153695043435
Feature_7068,0.008799266767888482
Feature_7076,0.0077334076485611955
Feature_7069,0.005710122220223584
Feature_7065,0.004693413687314483
Feature_7061,0.004340157050721231
Feature_7059,0.004311119248773009
Feature_7063,0.004178015672129523
Feature_7067,0.003720991778137065
Feature_7058,0.0036446821860160773
Feature_7054,0.0028308123920422435
Feature_7055,0.0027844927472378263
Feature_358,0.0004662608437642419
Feature_4040,0.0004567991483226054
Feature_415,0.00044953092893441085
Feature_3466,0.0004489251866016257
Feature_1835,0.0004437027823420208
Feature_94,0.00044357771711333053
Feature_3138,0.00043782130262750267
Feature_3338,0.0004346106559276678
Feature_2873,0.0004334119357048728
Feature_745,0.00042304821828051154
Feature_1609,0.00041844497444100507
Feature_1091,0.000416073141607496
Feature_4638,0.00041562549977798796
Feature_1006,0.0004054377871149673
Feature_31,0.0003991423040636479
Feature_3971,0.0003903405432288873
Feature_4825,0.0003891893937573658
Feature_3120,0.0003880535505143709
Feature_937,0.0003874935689687763
Feature_5726,0.00038562983154192556
Feature_5553,0.00038550842005466413
Feature_2599,0.00037805363344840646
Feature_1715,0.0003768294913133081
Feature_5279,0.0003747413947880136
Feature_689,0.00037327205902796563
Feature_1310,0.0003727807400561457
Feature_5353,0.00037219670266011785
Feature_2206,0.0003671686444889658
Feature_730,0.0003650389405045954
Feature_5673,0.0003643911436752965
Feature_6406,0.00036085140253481904
Feature_5281,0.00035576020345145154
Feature_3173,0.000355657297006616
Feature_296,0.00035503867863101316
Feature_2960,0.00035387172332178795
Feature_6772,0.0003536743183552385
Feature_4697,0.00035189627596510177
Feature_5148,0.00035187159976717984
Feature_715,0.00034944431552134253
Feature_6567,0.0003474901508971635
Feature_1997,0.00034746052311241977
Feature_3271,0.000347371940730271
Feature_2918,0.00034654109241273373
Feature_844,0.000346190545886509
Feature_4364,0.0003427990947153893
Feature_3460,0.0003411754727679291
Feature_5575,0.00034115033556224577
Feature_1353,0.00034073687173594885
Feature_7044,0.0003393304194203243
Feature_6374,0.0003364561583055019
Feature_4867,0.00033436328082428934
Feature_5646,0.0003337884976257241
Feature_2749,0.000333610015368516
Feature_6224,0.00033289149741819705
Feature_3945,0.0003302789302607878
Feature_4041,0.00032930009803520526
Feature_180,0.00032881058526546594
Feature_5572,0.00032874045566320183
Feature_2984,0.0003245137556273957
Feature_529,0.00032370628644419003
Feature_174,0.0003232300022607914
Feature_3474,0.00031929602715915627
Feature_1073,0.0003178760720167841
Feature_5374,0.00031662055009614565
Feature_3557,0.00031661242184324623
Feature_1011,0.00031626606334858603
Feature_3213,0.00031618592752137716
Feature_3991,0.00031413156660211385
Feature_1557,0.00031021537802557316
Feature_796,0.0003097222818337197
Feature_1179,0.0003094748389744894
Feature_3925,0.0003083648411313924
Feature_2925,0.0003070077049841546
Feature_3364,0.0003020245613546387
Feature_5613,0.00030183263386428173
Feature_4718,0.000301618408988692
Feature_123,0.00030089749763184784
Feature_4488,0.00029912757745117027
Feature_4345,0.000298547195598235
Feature_3749,0.00029798535117298464
Feature_5745,0.00029475381909369535
Feature_5294,0.0002940793705225514
Feature_4748,0.0002918347362263544
Feature_3150,0.00028831090541135777
Feature_4184,0.00028798654761813574
Feature_5906,0.0002866618836677029
Feature_5206,0.0002864500495290367
Feature_2240,0.00028492347084517483
Feature_1040,0.000284809790858994
Feature_4835,0.00028462370183542757
Feature_862,0.0002839142257855839
Feature_594,0.0002830795916816414
Feature_2686,0.00028186579753634774
Feature_2452,0.00028180907370677305
Feature_2056,0.00028136341473733375
Feature_3905,0.000280269742733861
Feature_260,0.00027927335446972557
Feature_2162,0.00027827152755483713
Feature_2460,0.0002782453013087819
Feature_3498,0.0002779436868092103
Feature_233,0.0002772768866301926
Feature_2382,0.00027713235851374254
Feature_3027,0.0002764205179624008
Feature_6396,0.00027631690660883437
Feature_776,0.00027550027594097355
Feature_3638,0.0002753726407108551
Feature_3073,0.00027468583728487353
Feature_4079,0.00027467314438082686
Feature_2289,0.0002736025068634422
Feature_6534,0.00027351245693383946
Feature_510,0.00027335194732232954
Feature_1340,0.00027271057882981086
Feature_6104,0.000272019091549011
Feature_3049,0.000271050021524906
Feature_1521,0.0002702481160629741
Feature_3210,0.0002697738945759328
Feature_3921,0.00026945945610269435
Feature_1747,0.0002687205210894709
Feature_1745,0.00026778092853007093
Feature_1442,0.0002676506401420005
Feature_2733,0.00026754361636111056
Feature_477,0.0002668930441223975
Feature_3349,0.00026665238763814563
Feature_5819,0.00026540529800539095
Feature_1762,0.00026469798406073675
